"id_discente","matricula","ano_ingresso","periodo_ingresso","periodo_atual","sexo","idade","raça","pais","curso","nivel","modalidade","estado","polo","forma_ingresso","discente_situacao","beneficiado_auxilio","prazo_conclusao","data_colacao_grau"
"0003ba85ff2e992a07361dbe7e28d0bf"," 2018102***","2018","1","4","M","24","Negra","Angola","MATEMÁTICA","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","f","20241",""
"00082dd79190f2e00b15da27afcae03b"," 2019101***","2019","1","2","F","21","Parda","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","f","20231",""
"0015735285c7b9cc5d97826f4f7a2564"," 2015106***","2015","1","10","M","29","Negra","Guiné Bissau","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","REOPCAO","FORMANDO","t","20232",""
"0016b115d8bcfce421766b146f40a388"," 2013102***","2013","1","14","M","39","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","ATIVO","f","20182",""
"0028bbd61a14e1a811dfc2617d5e2544"," 2017107***","2017","1","6","F","20","Negra","Brasil","CIÊNCIAS BIOLÓGICAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20231",""
"003b1ab7e5226903162e76581c17a333"," 2019104***","2019","1","2","F","19","Negra","Brasil","LETRAS -  LÍNGUA PORTUGUESA","G","Presencial","Ceará","","SiSU","ATIVO","f","20241",""
"0041fb8d95c8cc2d644fdfe46b18ef70"," 2014300***","2014","3","10","M","26","Parda","Brasil","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20231",""
"004d7c4a3ed5320475afbbf2a18e4868"," 2015106***","2015","1","10","M","27","Negra","Cabo Verde","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","REOPCAO","ATIVO","f","20232",""
"0051b60c521f4f907b7073cc1d4201ef"," 2018208***","2018","2","3","F","21","Negra","Brasil","HUMANIDADES","G","Presencial","Bahia","","SISURE","ATIVO","f","20211",""
"005a5b65842ac25c24f3b556e4d5f192"," 2018207***","2018","2","3","M","19","Negra","Brasil","HISTÓRIA","G","Presencial","Ceará","","SELEÇÃO DE ALUNOS QUILOMBOLAS OU INDÍGENAS","ATIVO","t","20232",""
"00661882327686b9884bf0a604a7d4d6"," 2019206***","2019","2","1","M","27","Negra","Guiné Bissau","HUMANIDADES","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","f","20231",""
"007f75cefd0033fe29e52d440b3159ff"," 2018208***","2018","2","3","F","25","Negra","Brasil","HUMANIDADES","G","Presencial","Bahia","","SISURE","ATIVO","f","20211",""
"008369a1fdaea52b5aaca2cd02feffd8"," 2019102***","2019","1","2","M","19","Branca","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","f","20222",""
"008a11a60ab3d2fc9a087632d9456a18"," 2018105***","2018","1","4","F","21","Parda","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","f","20212",""
"00901c0c07aa25c82e70131776d4f535"," 2019108***","2019","1","2","M","24","Negra","Guiné Bissau","HUMANIDADES","G","Presencial","Bahia","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20212",""
"0098888d131113c0fb608536a002755a"," 2016215***","2016","2","7","M","34","Parda","Brasil","HUMANIDADES","G","Presencial","Ceará","","PORTADOR DE DIPLOMA","ATIVO","f","20201",""
"00991dbdf2a480e5cd97f3d88be5fe4a"," 2016211***","2016","2","7","M","22","Branca","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","t","20201",""
"009e89db4004a9cba41accec87355634"," 2013101***","2013","1","13","M","32","Amarela","Brasil","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","G","Presencial","Ceará","","ENEM","FORMANDO","t","20191",""
"00a4f3106167d58be4e81ef6e3221c91"," 2015305***","2015","3","8","F","31","Parda","Brasil","LETRAS -  LÍNGUA PORTUGUESA","G","Presencial","Ceará","","SiSU","ATIVO","t","20202",""
"00b2e4686142c13dfdb9ffd9b7d13dcf"," 2017201***","2017","2","","F","37","Não declarada","Brasil","GESTÃO EM SAÚDE 2017.2","L","A Distância","Ceará","Redenção","NAO INFORMADO","ATIVO","f","",""
"00ba9e582275a6d10a9c1af1c146f321"," 2015107***","2015","1","10","M","26","Negra","São Tomé e Príncipe","ENFERMAGEM","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20221",""
"00baaffd1dc27a0d66db925b3d7f84e4"," 2017111***","2017","1","7","F","26","Negra","Guiné Bissau","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","t","20202",""
"00bff6178d31836bd063d0a05a5c8cef"," 2018204***","2018","2","5","M","23","Não declarada","Brasil","HISTÓRIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","f","20222",""
