"ID","Curso","Modalidade Educação","Município","Tipo de Oferta da Disciplina","Área Conhecimento CNPQ","Grau Acadêmico","Código INEP","Portaria Reconhecimento","DOU","Data Cadastro"
"1","ADMINISTRAÇÃO PÚBLICA","A Distância","Redenção","Semestral","Ciências Sociais Aplicadas","BACHARELADO","1192453","Resolução do Conselho Superior; no. 11/2012","2012-12-06","2013-03-13 09:31:38.716"
"2","ADMINISTRAÇÃO  PÚBLICA","Presencial - Trimestral","Redenção","Trimestral","Ciências Sociais Aplicadas","BACHARELADO","1139343","206","2016-06-23","2011-05-10 08:18:43.422"
"3","ADMINISTRAÇÃO PÚBLICA - SEMESTRAL","Presencial","Redenção","Semestral","Ciências Sociais Aplicadas","BACHARELADO","1139343","206","2016-06-23","2016-10-10 09:22:20.879"
"4","AGRONOMIA","Presencial","Redenção","Semestral","Ciências Agrárias","BACHARELADO","1161606","742","2016-11-28","2016-10-10 09:24:35.392"
"5","AGRONOMIA - TRIMESTRAL","Presencial - Trimestral","Redenção","Trimestral","Ciências Agrárias","BACHARELADO","1161606","742","2016-12-25","2011-05-10 08:13:50.226"
"6","ANTROPOLOGIA","Presencial","Redenção","Semestral","Ciências Humanas","BACHARELADO","1272866","RESOLUÇÃO Nº 26 - I - CONSELHO SUPERIOR PRO TEMPORE DA UNILAB","2013-11-21","2016-10-09 11:44:14.104"
"7","ANTROPOLOGIA - TRIMESTRAL","Presencial - Trimestral","Redenção","Trimestral","Ciências Humanas","BACHARELADO","1272866","","","2014-08-04 17:28:30.387"
"8","CIÊNCIAS BIOLÓGICAS","Presencial","Redenção","Semestral","Ciências Biológicas","LICENCIATURA PLENA","1292765","Rsolução CONSUNI","2015-04-29","2016-10-10 09:31:33.652"
"9","CIÊNCIAS BIOLÓGICAS - TRIMESTRAL","Presencial - Trimestral","Acarape","Trimestral","Ciências Biológicas","LICENCIATURA PLENA","1292765","","","2015-04-29 12:28:28.996"
"10","CIÊNCIAS DA NATUREZA E MATEMÁTICA","Presencial","Redenção","Semestral","Ciências Exatas e da Terra","LICENCIATURA PLENA","1146146","136","2016-05-11","2016-10-10 09:37:40.696"
